스타벅스 명,스타벅스 주소,역 명,운영기관,역 주소,노선명
가산디지털,서울특별시 금천구 가산디지털1로 168,가산디지털단지,"서울교통공사, 한국철도공사",서울특별시 금천구 벚꽃로 309,"7호선, 경부선"
가산디지털단지역,서울특별시 금천구 벚꽃로 298,가산디지털단지,"서울교통공사, 한국철도공사",서울특별시 금천구 벚꽃로 309,"7호선, 경부선"
가산에스케이,서울특별시 금천구 가산디지털1로 171,가산디지털단지,"서울교통공사, 한국철도공사",서울특별시 금천구 벚꽃로 309,"7호선, 경부선"
가산케이에스,서울특별시 금천구 벚꽃로36길 30,가산디지털단지,"서울교통공사, 한국철도공사",서울특별시 금천구 벚꽃로 309,"7호선, 경부선"
강남2,서울특별시 서초구 서초대로77길 27,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남GT타워,서울특별시 서초구 서초대로 411,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남R,서울특별시 강남구 강남대로 390,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남비젼타워,서울특별시 강남구 테헤란로2길 27,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남삼성타운,서울특별시 서초구 서초대로78길 24,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남역신분당역사,서울특별시 강남구 강남대로  396,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남역우송빌딩,서울특별시 서초구 서초대로73길 7,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
강남오거리,서울특별시 강남구 봉은사로2길 39,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
구로디지털타워,서울특별시 구로구 디지털로32길 30,구로디지털단지,서울교통공사,서울특별시 구로구 도림천로 477,2호선
구로호텔,서울특별시 구로구 디지털로32길 72,구로디지털단지,서울교통공사,서울특별시 구로구 도림천로 477,2호선
국기원사거리,서울특별시 강남구 테헤란로 125,강남,"경기도 신분당선, 서울교통공사",서울특별시 강남구 강남대로 396,"신분당선, 2호선"
기술센터,서울특별시 강남구 테헤란로 305,선릉,"서울교통공사, 한국철도공사",서울특별시 강남구 테헤란로 340,"2호선, 분당선"
남산단암,서울특별시 중구 소월로 10,서울역,"공항철도주식회사, 서울교통공사","서울특별시 용산구 청파로 378, 서울특별시 중구 통일로 13, 서울특별시 용산구 한강대로 392, 서울특별시 중구 통일로 1","인천국제공항선, 1호선, 4호선, 경의중앙선"
뉴코아강남,서울특별시 서초구 잠원로 69,고속터미널,"서울교통공사, 서울시메트로9호선㈜","서울특별시 서초구 신반포로 188, 서울특별시 서초구 신반포로 176, 서울특별시 서초구 신반포로 200","3호선, 7호선, 수도권도시철도9호선"
대우재단빌딩,서울특별시 중구 퇴계로 18,서울역,"공항철도주식회사, 서울교통공사","서울특별시 용산구 청파로 378, 서울특별시 중구 통일로 13, 서울특별시 용산구 한강대로 392, 서울특별시 중구 통일로 1","인천국제공항선, 1호선, 4호선, 경의중앙선"
