역명,위도,경도,승하차수
4.19민주묘지,37.649593,127.013746,227554
가락시장,37.492522,127.118234,995078
가산디지털단지,37.481072,126.882343,3220806
가양,37.561391,126.854456,1274675
가오리,37.641701,127.016792,257078
가좌,37.568491,126.915487,346626
강남,37.497175,127.027926,4284521
강남구청,37.517186,127.04128,1518116
강동,37.535804,127.132481,1029414
강동구청,37.530341,127.120508,595442
강변(동서울터미널),37.535095,127.094681,1868809
개롱,37.498079,127.13482,386837
개봉,37.494594,126.85868,1298928
개포동,37.489116,127.06614,286654
개화,37.578608,126.798153,140127
개화산,37.572399,126.806171,333221
거여,37.493105,127.14415,579076
건대입구,37.540693,127.07023,3095955
경복궁(정부서울청사),37.575762,126.97353,1769944
경찰병원,37.495918,127.12454,408287
고덕,37.555004,127.154151,590298
고려대(종암),37.590508,127.036296,534581
고속터미널,37.50481,127.004943,5089937
공덕,37.544018,126.951592,2290298
공릉(서울과학기술대),37.625742,127.072896,715576
공항시장,37.563726,126.810678,184109
광나루(장신대),37.545303,127.10357,828080
광명사거리,37.479252,126.854876,1190466
광운대,37.623632,127.061835,505519
광화문(세종문화회관),37.571026,126.976669,1941014
광흥창(서강),37.547456,126.931993,523273
교대(법원.검찰청),37.493415,127.01408,2568072
구로,37.503039,126.881966,1067244
구로디지털단지,37.485266,126.901401,3205318
구룡,37.486839,127.058856,168146
구반포,37.501364,126.987332,63741
구산,37.611377,126.91727,408883
구의(광진구청),37.537077,127.085916,1387198
구일,37.496756,126.870793,479445
구파발,37.636763,126.918821,1284858
국회의사당,37.528105,126.917874,899337
군자(능동),37.557121,127.079542,1511586
굽은다리(강동구민회관앞),37.545477,127.142853,545359
금천구청,37.455626,126.89398,683245
금호,37.548034,127.015872,459907
길동,37.537801,127.140004,477433
길음,37.603407,127.025053,1285848
김포공항,37.562434,126.801058,1734452
까치산,37.531768,126.846683,1624502
낙성대(강감찬),37.47693,126.963693,1612348
남구로,37.486056,126.887249,852104
남부터미널(예술의전당),37.485013,127.016189,1721102
남성,37.484596,126.971251,654937
남영,37.541021,126.9713,596616
남태령,37.463873,126.989134,74207
내방,37.487618,126.993513,812174
노들,37.512887,126.953222,298965
노량진,37.514219,126.942454,2177247
노원,37.655128,127.061368,2440077
녹번,37.600927,126.935756,871619
녹사평(용산구청),37.534675,126.986695,333424
녹천,37.644799,127.051269,246215
논현,37.511093,127.021415,991321
답십리,37.566747,127.052704,871849
당고개,37.670272,127.079066,546829
당산,37.53438,126.902281,2254436
대림(구로구청),37.49297,126.895801,2022520
대모산입구,37.491373,127.07272,331340
대방,37.513342,126.926382,810144
대청,37.493514,127.079532,596519
대치,37.494612,127.063642,714722
대흥(서강대앞),37.547771,126.942069,560560
도곡,37.490858,127.055381,720327
도림천,37.514287,126.882768,72996
도봉,37.679563,127.045595,346517
도봉산,37.689313,127.046222,1099821
독립문,37.574571,126.957748,485675
독바위,37.618456,126.933031,169922
독산,37.466613,126.889249,997971
돌곶이,37.610537,127.056431,575103
동대문,37.57142,127.009745,1975567
동대문역사문화공원(DDP),37.565138,127.007896,2191242
동대입구,37.559052,127.005602,721897
동묘앞,37.572627,127.016429,1217872
동작(현충원),37.502971,126.979306,229856
둔촌동,37.527788,127.136248,515223
등촌,37.550632,126.865689,659910
디지털미디어시티,37.576646,126.900984,1791414
뚝섬,37.547184,127.047367,1427059
뚝섬유원지,37.53154,127.066704,740237
마곡,37.560183,126.825448,648275
마곡나루(서울식물원),37.567336,126.829497,1363327
마들,37.66494,127.057675,737224
마장,37.5661,127.042973,332312
마천,37.49499,127.152781,431754
마포,37.539574,126.945932,848672
마포구청,37.563515,126.903343,817727
망우,37.59955,127.091909,473200
망원,37.556094,126.910052,930642
매봉,37.486947,127.046769,671884
먹골,37.610637,127.077725,596553
면목,37.588579,127.087503,894962
명동,37.560989,126.986325,2156577
명일,37.55137,127.143999,533795
목동,37.526065,126.864931,993776
몽촌토성(평화의문),37.517409,127.112359,417403
무악재,37.582299,126.950291,258436
문래,37.517933,126.89476,1239995
문정,37.485855,127.1225,1139399
미아(서울사이버대학),37.62667,127.025983,909011
미아사거리,37.613292,127.030053,1575286
반포,37.508178,127.011727,360645
발산,37.558598,126.837668,1287453
방배,37.481426,126.997596,1018334
방이,37.508857,127.126133,431767
방학,37.667503,127.044273,596158
방화,37.577446,126.812741,400554
버티고개,37.548013,127.007055,131255
보라매,37.499872,126.920428,617511
보문,37.585286,127.019381,540691
복정,37.470047,127.126662,512094
봉은사,37.514219,127.060245,1222338
봉천,37.482362,126.941892,1340577
봉화산(서울의료원),37.617283,127.091401,500663
북한산보국문,37.612343,127.008009,380394
북한산우이,37.663146,127.012789,232333
불광,37.610469,126.929887,1314988
사가정,37.580894,127.088478,955089
사당,37.47653,126.981685,4002706
사평,37.504206,127.015259,223778
삼각지,37.534777,126.97311,822471
삼성(무역센터),37.508844,127.06316,3001064
삼성중앙,37.513011,127.053282,416895
삼양,37.627165,127.018152,125752
삼양사거리,37.621512,127.02048,156059
상계,37.660878,127.073572,1121623
상도,37.502834,126.94791,702975
상봉(시외버스터미널),37.596362,127.085032,1346399
상수,37.547716,126.922852,673061
상왕십리,37.564354,127.029354,818349
상월곡(한국과학기술연구원),37.606377,127.048491,376714
상일동,37.556712,127.166417,805618
새절(신사),37.591148,126.913629,732429
샛강,37.517274,126.928422,541952
서강대,37.551881,126.935711,142516
서대문,37.565773,126.966641,1089215
서빙고,37.519594,126.988537,151425
서울역,37.554648,126.972559,5675823
서울대입구(관악구청),37.481247,126.952739,2675892
서울숲,37.543617,127.044707,824162
서초,37.491897,127.007917,1220212
석계,37.614805,127.065851,1243666
석촌,37.505431,127.106979,1022724
선릉,37.504503,127.049008,3652344
선유도,37.53802,126.893525,475106
선정릉,37.51098,127.043593,983597
성수,37.544581,127.055961,2449631
성신여대입구(돈암),37.592624,127.016403,1495249
솔밭공원,37.656088,127.013252,155889
솔샘,37.62124,127.013528,339381
송정,37.561184,126.811973,369135
송파,37.499703,127.112183,523583
수락산,37.67785,127.055315,746544
수색,37.580842,126.895611,193915
수서,37.487371,127.10188,2003237
수유(강북구청),37.638052,127.025732,2032546
숙대입구(갈월),37.54456,126.972106,866186
숭실대입구(살피재),37.496029,126.953822,874952
시청,37.564718,126.977108,2995024
신금호,37.554548,127.020331,384184
신길,37.517122,126.917169,768793
신내,37.612887,127.103218,131440
신논현,37.504598,127.02506,1782709
신답,37.57004,127.046481,98280
신당,37.565972,127.01782,1407954
신대방,37.487462,126.913149,1492038
신대방삼거리,37.499701,126.928276,842278
신도림,37.508725,126.891295,3147725
신림,37.484201,126.929715,3240551
신목동,37.544277,126.88308,232877
신반포,37.503415,126.995925,245723
신방화,37.567532,126.816601,396506
신설동,37.575297,127.025087,1166582
신용산,37.52917,126.967894,1145746
신이문,37.601854,127.067325,481986
신정(은행정),37.524997,126.856191,713674
신정네거리,37.520074,126.852912,608539
신촌,37.555134,126.936893,2370142
신풍,37.50008,126.90993,638024
쌍문,37.648627,127.034709,1646037
아차산(어린이대공원후문),37.551691,127.089761,914846
아현,37.557345,126.956141,618158
안국,37.576477,126.985443,1727737
안암(고대병원앞),37.586272,127.029005,759921
암사,37.55021,127.127562,1017021
압구정,37.527072,127.028461,1880069
압구정로데오,37.527381,127.040534,1201729
애오개,37.553736,126.95682,374108
약수,37.55434,127.010655,969804
양원,37.606596,127.107906,181461
양재(서초구청),37.484147,127.034631,2123441
양재시민의숲,37.470023,127.03842,
양천구청,37.512398,126.865819,408905
양천향교,37.568381,126.841333,571229
어린이대공원(세종대),37.548014,127.074658,1006437
언주,37.507287,127.033868,624275
여의나루,37.527098,126.932901,1142350
여의도,37.521624,126.924191,3181871
역삼,37.500622,127.036456,2769015
역촌,37.606021,126.922744,248463
연신내,37.619001,126.921008,2025161
염창,37.546936,126.874916,1012512
영등포,37.515504,126.907628,2599125
영등포구청,37.52497,126.895951,1459750
영등포시장,37.522669,126.905139,664456
오금,37.502162,127.128111,563792
오류동,37.494526,126.845365,678065
오목교(목동운동장앞),37.524496,126.875181,1280940
옥수,37.540685,127.017965,544566
온수(성공회대입구),37.492258,126.823388,950762
올림픽공원(한국체대),37.516078,127.130848,1046010
왕십리(성동구청),37.561533,127.037732,2152455
외대앞,37.596073,127.063549,592404
용답,37.561904,127.050899,176524
용두(동대문구청),37.574028,127.038091,141234
용마산(용마폭포공원),37.573647,127.086727,354606
용산,37.529849,126.964561,2642435
우장산,37.548768,126.836318,846889
월계,37.633212,127.058831,423244
월곡(동덕여대),37.601948,127.041518,716014
월드컵경기장(성산),37.569532,126.899298,664299
을지로3가,37.566295,126.99191,2014566
을지로4가,37.566941,126.998079,1183573
을지로입구,37.566014,126.982618,2731957
응봉,37.549946,127.034538,113989
응암,37.598605,126.915577,1036815
이대,37.556733,126.946013,1038572
이수,37.486263,126.981989,904529
이촌(국립중앙박물관),37.522272,126.974345,873116
이태원,37.534488,126.994302,804295
일원,37.483681,127.08439,615522
잠실(송파구청),37.51395,127.102234,5657752
잠실나루,37.520733,127.10379,855971
잠실새내,37.511687,127.086162,1347503
잠원,37.512759,127.01122,292754
장승배기,37.504898,126.93915,533837
장지,37.478703,127.126191,951385
장한평,37.56144,127.064623,1065146
정릉,37.602798,127.01349,283524
제기동,37.578103,127.034893,1036890
종각,37.570161,126.982923,2142141
종로3가,37.571607,126.991806,3201562
종로5가,37.570926,127.001849,1524896
종합운동장,37.510997,127.073642,1062162
중계,37.644583,127.064303,834031
중곡,37.565923,127.08432,615186
중랑,37.594917,127.076116,330908
중화,37.602545,127.079264,616615
증미,37.557402,126.861939,413844
증산(명지대앞),37.583876,126.909645,592992
창동,37.653166,127.047731,1556107
창신,37.579661,127.015241,193392
천왕,37.486637,126.838713,645712
